healthScore,maxNumberCommit,numberCommit,orgName,repoName
0.75,4,3.0,alanwardubuntu,"alanwardubuntu/projecte_collab_dades"
0.75,4,3.0,chloekek,chloekek/game
0.75,4,3.0,AntoineAugusti,"AntoineAugusti/antennes-free"
0.75,4,3.0,SoftCreatR,SoftCreatR/sfsbl
0.75,4,3.0,surendrark,"surendrark/surendrark.github.io"
0.75,4,3.0,damng,"damng/hackernews-rss-with-inlined-content"
0.75,4,3.0,utilset,utilset/utils
0.75,4,3.0,renovate[bot],hipages/php-fpm_exporter
0.75,4,3.0,jhygt46,jhygt46/medici
0.75,4,3.0,biau,biau/HomeAssistantConfig
0.75,4,3.0,snoopycrimecop,"snoopycrimecop/infrastructure"
0.75,4,3.0,pie777,pie777/Personal-Website
0.75,4,3.0,snoopycrimecop,"snoopycrimecop/deployment"
0.75,4,3.0,kratz00,"FreifunkFranken/freifunkfranken-community"
0.75,4,3.0,tjbencomo,"tjbencomo/tjbencomo.github.io"
0.75,8,6.0,conda-forge-coordinator,conda-forge/feedstocks
0.75,4,3.0,a5221985,a5221985/tutorials
0.75,16,12.0,seniocaires,seniocaires/rating
0.75,4,3.0,context-machine,offstream-news/wiki-meta
0.75,4,3.0,Marcosaurios,"Marcosaurios/jekyllPortfolio"
0.75,4,3.0,haidaroktafiansyah,"haidaroktafiansyah/laporan-praktikum-pbo"
0.75,4,3.0,wintersoft,"aptonic/dropzone3-actions-zipped"
0.75,4,3.0,cmsbuild,cms-sw/cms-prs
0.75,4,3.0,k03mad,"k03mad/adblock-hosts-list"
0.75,4,3.0,SWING1993,SWING1993/orz
0.75,4,3.0,streamnativebot,streamnative/pulsar
0.75,8,6.0,everhood,"everhood/everhood.github.io"
0.75,8,6.0,adeel,"ncatlab/nlab-content-html"
0.75,24,18.0,mistermochi,OurHealthcareHK/api
0.75,4,3.0,jartisan2001,jartisan2001/latest
0.75,4,3.0,coffe1891,coffe1891/FERD
0.75,4,3.0,rosbuild,osrf/www.ros.org
0.75,4,3.0,cryptobigbro,"cryptobigbro/coinbasepro-XTZ-BTC"
0.75,12,9.0,zhanglianbo35,zhanglianbo35/element
0.75,4,3.0,MohammedYehia,yalla-coop/death
0.75,20,15.0,LeoHung,"LeoHung/mta_status_release"
0.75,4,3.0,cryptobigbro,"cryptobigbro/coinbasepro-XLM-USD"
0.75,4,3.0,cryptobigbro,"cryptobigbro/coinbasepro-DAI-USDC"
0.75,4,3.0,cryptobigbro,"cryptobigbro/coinbasepro-BTC-USDC"
0.75,4,3.0,cryptobigbro,"cryptobigbro/coinbasepro-LTC-BTC"
0.75,4,3.0,Pant,Pant/kali
0.75,16,12.0,hedgespin,hedgespin/sensor_data
0.75,4,3.0,lfd-lists,"linux-mailinglist-archives/linux-xfs.vger.kernel.org.0"
0.75,4,3.0,cryptobigbro,"cryptobigbro/coinbasepro-EOS-BTC"
0.75,4,3.0,OneJane,"OneJane/OneJane.github.io"
0.75,4,3.0,jojoriveraa,jojoriveraa/lootcheck-js
0.75,8,6.0,LionTao,"LionTao/LionTao.github.io"
0.75,4,3.0,knows1,knows1/repository
0.75,4,3.0,rawmean,rawmean/firmwares
0.75,4,3.0,Arjantd,Arjantd/stilteretraite
0.75,4,3.0,ontouchstart,mocaspike150/api
0.75,4,3.0,sanjayankur31,"sanjayankur31/planet-neuroscientists"
0.75,4,3.0,oldengremlin,oldengremlin/133-2017
0.75,4,3.0,HBLong,HBLong/channel_v3_daily
0.75,4,3.0,snoopycrimecop,"snoopycrimecop/kubernetes-apps"
0.75,4,3.0,demee,demee/9to5programming
0.75,4,3.0,Irisowa,"Irisowa/Irisowa.github.io"
0.75,4,3.0,sanjayankur31,"sanjayankur31/planet-neuroscience"
0.75,4,3.0,Nounours31,Nounours31/Bricolage2
0.75,8,6.0,softjourntest,"softjourntest/acme6030Fore2e"
0.75,4,3.0,dotnet-maestro[bot],dotnet/core-sdk
0.7454545454545455,110,82.0,GitClock,GitClock/GitClock
0.7450980392156863,51,38.0,doudidas,"doudidas/configuration-managment"
0.7403846153846154,104,77.0,ItzLevvie,ItzLevvie/Office16
0.7368421052631579,171,126.0,what-time-is-it-bot,mpsq/what-time-is-it
0.7368421052631579,19,14.0,dbenge,AdobeAtAdobe/kirby_docs
0.7368421052631579,19,14.0,Lewatoto,"SparkProjects/alertafuegogt"
0.7352941176470589,34,25.0,newstools,"newstools/2019-the-guardian-nigeria"
0.7313432835820896,67,49.0,SockPuppetry,SockPuppetry/Loop-B
0.7272727272727273,33,24.0,Tainoko,Tainoko/lab
0.7272727272727273,11,8.0,akohlbecker,"cybertaxonomy/cdmlib-apps"
0.7272727272727273,11,8.0,liebe613,liebe613/repository2
0.7272727272727273,11,8.0,ceseo,ceseo/go
0.7272727272727273,143,104.0,m1ha5,m1ha5/testing
0.7261904761904762,84,61.0,javastraat,"BM-Database/database-beta"
0.7222222222222222,18,13.0,haiku-bot,haiku/haiku
0.7222222222222222,18,13.0,nexus-uw,"nexus-uw/make-account-green"
0.7222222222222222,18,13.0,PolishJarvis,"PolishFiltersTeam/PolishSocialCookiesFiltersDev"
0.7222222222222222,18,13.0,MikkCZ,"MozillaCZ/start-mozilla-cz"
0.7207207207207207,111,80.0,donaldsouza,donaldsouza/my_project
0.7142857142857143,7,5.0,Synchunk,Synchunk/www
0.7142857142857143,7,5.0,g-tit-oxygen,"g-tit-oxygen/git-plugin-tests"
0.7142857142857143,7,5.0,cve-team,CVEProject/cvelist
0.7142857142857143,7,5.0,dfcbzs,dfcbzs/fq
0.7142857142857143,7,5.0,freedomtowin,"freedomtowin/algo-trading"
0.7142857142857143,7,5.0,easy-websocket,easy-websocket/b
0.7142857142857143,7,5.0,takumi338,"y0s0k0/freemarket_sample_57a"
0.7142857142857143,7,5.0,funilrys,"Ultimate-Hosts-Blacklist/Airelles_Anti_Sex_Hosts"
0.7142857142857143,7,5.0,mug913,"mug913/oo-tic-tac-toe-online-web-pt-081219"
0.7142857142857143,7,5.0,dfcbzs,dfcbzs/b
0.7142857142857143,7,5.0,cryptobigbro,"cryptobigbro/coinbasepro-CVC-USDC"
0.7142857142857143,7,5.0,AntoineAugusti,"snosan-tools/avurnavs-fichiers"
0.7142857142857143,7,5.0,roderickhsiao,"roderickhsiao/So-You-Think-You-Can-Dance"
0.7142857142857143,7,5.0,marcusrelacion,AIGAdc/DCDW
0.7142857142857143,7,5.0,lfd-lists,"linux-mailinglist-archives/intel-gfx.lists.freedesktop.org.0"
0.7142857142857143,7,5.0,pauloeduardosp,"pauloeduardosp/Controle_de_Luz"
0.7142857142857143,7,5.0,lfd-lists,"linux-mailinglist-archives/xen-devel.lists.xenproject.org.0"
0.7142857142857143,7,5.0,OPSTestPPE,"OPS-E2E-PPE/E2E_DocsBranch_Dynamic"
0.7142857142857143,7,5.0,Synchunk,Synchunk/b
0.7142857142857143,7,5.0,easy-websocket,easy-websocket/www
0.7129629629629629,108,77.0,Ne00n,Ne00n/Hetzner
0.7083333333333334,24,17.0,hackmud-dtr,hackmud-dtr/fragments
0.7058823529411765,17,12.0,solarias,"solarias/simplestone_metadeck"
0.7058823529411765,119,84.0,bossm,bossm/chancechats
0.7040816326530612,98,69.0,lfd-lists,"linux-mailinglist-archives/linux-kernel.vger.kernel.org.0"
0.7,10,7.0,qwopweio11,qwopweio11/repository2
0.7,10,7.0,newstools,newstools/2019-afp
0.7,10,7.0,bossbot6sub,bossbot6sub/bossbotDB
0.7,10,7.0,sylee02,sylee02/synol
0.7,10,7.0,RobbieZifchak,"RobbieZifchak/python-for-loops-lab-ds-apply-000"
0.7,10,7.0,dfcbzs,dfcbzs/ntdtv
0.7,10,7.0,dfcbzs,dfcbzs/djy
0.6956521739130435,23,16.0,Meinersbur,SOLLVE/llvm
0.6950174547762615,3151,2190.0,2aef,2aef/a2ch
0.6923076923076923,13,9.0,ncehk2019,"ncehk2019/nce-live-datasrc"
0.6923076923076923,13,9.0,joenoon,notarydepot/sitemap
0.6923076923076923,13,9.0,yyano,yyano/Qiita-News
0.6923076923076923,26,18.0,xsocide1,xsocide1/repository2
0.6923076923076923,13,9.0,zjuerkzhang,"fullrss/fullrss.github.io"
0.6896551724137931,58,40.0,hknqp,hknqp/test
0.6888888888888889,45,31.0,nlucas2,"nlucas2/BetaStampWebhooksTest"
0.6875,16,11.0,nalgangdov,nalgangdov/repository2
0.6875,16,11.0,mariomash,mariomash/raspiEyes
0.6865671641791045,67,46.0,SockPuppetry,SockPuppetry/Loop-A
0.6861313868613139,137,94.0,TalibAzir,TalibAzir/AllahPadishah
0.6842105263157895,19,13.0,muuud,muuud/muuud.github.io
0.6842105263157895,19,13.0,xndcn,xndcn/smzdm.com
0.6825396825396826,63,43.0,chuan12,chuan12/shenzhouzd
0.6761363636363636,1584,1071.0,othhotro,othhotro/Roo.Exe
0.6739130434782609,46,31.0,monetdb-team,MonetDB/MonetDB
0.673202614379085,612,412.0,2asoft,2asoft/freebsd-ports
0.6724137931034483,58,39.0,MaybeNotWrong,MaybeNotWrong/lc-sep
0.6707317073170732,82,55.0,Bakual,Bakual/joomla-cms
0.6666666666666666,6,4.0,nguyenvanduocit,12bitvn/news.12bit.vn
0.6666666666666666,3,2.0,ASHOKKUMAR-K,ASHOKKUMAR-K/GUVI
0.6666666666666666,3,2.0,mfcp888,mfcp888/otest
0.6666666666666666,3,2.0,bitnami-bot,"bitnami/bitnami-docker-php-fpm"
0.6666666666666666,3,2.0,mfcp888,mfcp888/main
0.6666666666666666,3,2.0,speedtracker-bot,zibyte/speedtracker
0.6666666666666666,3,2.0,OscarHYCheung,standnews/standnews-live
0.6666666666666666,3,2.0,cibergarri,cibergarri/morcilla-Back
0.6666666666666666,3,2.0,chapuni,"llvm-project/llvm-project-20170507"
0.6666666666666666,3,2.0,anastasiia-kryshtop,"forkorganization/test-dev"
0.6666666666666666,6,4.0,SmokeDetector,"Charcoal-SE/SmokeDetector"
0.6666666666666666,9,6.0,nyov,"xonotic/xonotic-data.pk3dir"
0.6666666666666666,3,2.0,eolvera5,"eolvera5/eolvera5.github.io"
0.6666666666666666,3,2.0,flyingsc,flyingsc/experimental
0.6666666666666666,3,2.0,cepreusa,cepreusa/ReactVK
0.6666666666666666,3,2.0,pbaffiliatetwoop,pbaffiliatetwoop/Zalfa
0.6666666666666666,6,4.0,elek,elek/ozone-ci
0.6666666666666666,3,2.0,thureinandmelanie,"thureinandmelanie/thureinandmelanie.github.io"
0.6666666666666666,3,2.0,cosmicc,cosmicc/pyark
0.6666666666666666,3,2.0,acole78,acole78/FE_DYL
0.6666666666666666,3,2.0,cwick,cwick/nand2tetris
0.6666666666666666,24,16.0,hackmud-dtr,"hackmud-dtr/fragments-one-file"
0.6666666666666666,6,4.0,sneeak,sneeak/tmare
0.6666666666666666,3,2.0,VRMMC-VMSA,vilnius/VRMMC
0.6666666666666666,3,2.0,hiiammar,hiiammar/marsrepo
0.6666666666666666,3,2.0,YPermitin,"YPermitin/MagickPlatformHistory"
0.6666666666666666,3,2.0,melchr,melchr/learn-co-sandbox
0.6666666666666666,3,2.0,jxc454,jxc454/udp-histogram
0.6666666666666666,12,8.0,fabianomenegidio,fabianomenegidio/slides
0.6666666666666666,3,2.0,GaoTielin,"GaoTielin/CultlessGame_Project-_1"
0.6666666666666666,3,2.0,usox,usox/stu3
0.6666666666666666,3,2.0,tcgriffith,tcgriffith/owaraisite
0.6666666666666666,3,2.0,Kalyan898,Kalyan898/data-science
0.6666666666666666,3,2.0,ChanceYu,ChanceYu/front-end-rss
0.6666666666666666,9,6.0,lady007,lady007/rep02
0.6666666666666666,3,2.0,sakurano,sakurano/funnypush
0.6666666666666666,6,4.0,iscodesnippet,iscodesnippet/samp
0.6666666666666666,6,4.0,velonigs,velonigs/CosmoXtriker
0.6666666666666666,3,2.0,petergeoghegan,petergeoghegan/postgres
0.6666666666666666,3,2.0,srvanderplas,srvanderplas/ShoeScrapeR
0.6666666666666666,3,2.0,kartikjain26,kartikjain26/testGithub
0.6666666666666666,3,2.0,mazma1,andela/mazus-ah-frontend
0.6666666666666666,3,2.0,Wasp971,Wasp971/SolarTracker
0.6666666666666666,6,4.0,cryptobigbro,"cryptobigbro/coinbasepro-ALGO-USD"
0.6666666666666666,3,2.0,ihebbaneib,ihebbaneib/peacy
0.6666666666666666,9,6.0,Sephirothphoenix,"Sephirothphoenix/Destiny2.info"
0.6666666666666666,3,2.0,pull[bot],nicolaszf/RSSHub
0.6666666666666666,3,2.0,slurp-logs,piscisaureus/slurp-logs
0.6666666666666666,6,4.0,HashTablesNet,"HashTablesNet/bsov-pool.hashtables.net"
0.6666666666666666,3,2.0,JaderH,JaderH/GreenBox
0.6666666666666666,12,8.0,AllyMorson,"AllyMorson/learn-co-sandbox"
0.6666666666666666,3,2.0,mechtron,"mechtron/mechtron.github.io"
0.6666666666666666,3,2.0,Vajrasamaya,"Vajrasamaya/for-loops-readme-data-science-intro-000"
0.6666666666666666,3,2.0,gsocgsoc,gsocgsoc/spam-domains
0.6666666666666666,12,8.0,electic,Blockmodo/coin_registry
0.6666666666666666,6,4.0,michellehuang42,"michellehuang42/jupyter-notebook-introduction-data-science-intro-000"
0.6666666666666666,3,2.0,yangcaicai,yangcaicai/glamourshub00
0.6666666666666666,3,2.0,mmilitzer,mmilitzer/disposable
0.6666666666666666,6,4.0,FineBot,FineBot/see
0.6666666666666666,3,2.0,BUPT-PRIV,BUPT-PRIV/Pet-DOC
0.6666666666666666,6,4.0,tabacitu,Laravel-Backpack/CRUD
0.6666666666666666,3,2.0,se-cibuild,MontiCore/monticore
0.6666666666666666,3,2.0,tonguey,tonguey/data-siles
0.6666666666666666,6,4.0,cryptobigbro,"cryptobigbro/coinbasepro-DNT-USDC"
0.6666666666666666,6,4.0,cryptobigbro,"cryptobigbro/coinbasepro-XLM-BTC"
0.6666666666666666,6,4.0,cryptobigbro,"cryptobigbro/coinbasepro-XRP-EUR"
0.6666666666666666,9,6.0,cryptobigbro,"cryptobigbro/coinbasepro-GNT-USDC"
0.6666666666666666,3,2.0,muskaankularia,"muskaankularia/opencv_contrib"
0.6666666666666666,6,4.0,cryptobigbro,"cryptobigbro/coinbasepro-ZRX-BTC"
0.6666666666666666,6,4.0,cryptobigbro,"cryptobigbro/coinbasepro-EOS-USD"
0.6666666666666666,6,4.0,cryptobigbro,"cryptobigbro/coinbasepro-ETH-BTC"
0.6666666666666666,3,2.0,amake,macports/macports-ports
0.6666666666666666,3,2.0,snoopycrimecop,"snoopycrimecop/ome-codecs"
0.6666666666666666,3,2.0,snoopycrimecop,"snoopycrimecop/ome-metakit"
0.6666666666666666,3,2.0,tc-streets,"tc-streets/tc-streets.github.io"
0.6666666666666666,3,2.0,Morphus,Morphus/test
0.6666666666666666,3,2.0,SeonHyungJo,SeonHyungJo/gardener
0.6666666666666666,9,6.0,opless,opless/teefax-mirror
0.6666666666666666,3,2.0,werbenhu,"werbenhu/php-number-slicing"
0.6666666666666666,3,2.0,specter01wj,"specter01wj/Coding_Practice-Intro_Java_programming"
0.6666666666666666,9,6.0,theirishkiwi,"theirishkiwi/mmj-snipcart"
0.6666666666666666,9,6.0,lfd-lists,"linux-mailinglist-archives/dri-devel.lists.freedesktop.org.0"
0.6666666666666666,12,8.0,TheBramhos,TheBramhos/bhankas-pic
0.6666666666666666,6,4.0,zhangjyr,"wangaoone/LambdaObjectstore"
0.6666666666666666,3,2.0,MichelleTanzil,"MichelleTanzil/learn-co-sandbox"
0.6666666666666666,9,6.0,newstools,"newstools/2019-the-nation-ng"
0.6666666666666666,18,12.0,ceylanb,ceylanb/erciyes_duyuru
0.6666666666666666,6,4.0,19h,19h/heartbeat
0.6666666666666666,6,4.0,funilrys,"Ultimate-Hosts-Blacklist/Phishing.Database"
0.6666666666666666,3,2.0,njncalub,njncalub/malay-natin
0.6666666666666666,6,4.0,lylxrds,"my-friend-was-a-real-tyrant/xz"
0.6666666666666666,6,4.0,gkevlin,gkevlin/ansible
0.6666666666666666,3,2.0,zzzhyb,TianSHH/BIT_IM
0.6666666666666666,3,2.0,asfgit,"apache/servicemix-bundles"
0.6666666666666666,3,2.0,ypeleg,"ypeleg/MinimalIsAllYouNeed"
0.6666666666666666,3,2.0,CodyAnderson,"CodyAnderson/GlobalCircuitGroundStation"
0.6666666666666666,3,2.0,NEWCHANGEBOT,NEWCHANGEBOT/bosbot44
0.6666666666666666,3,2.0,markwturnbull,markwturnbull/devops
0.6666666666666666,6,4.0,r15ch13,Calinou/scoop-games
0.6666666666666666,3,2.0,tdco,tdco/list-creation
0.6666666666666666,3,2.0,mrmicahcooper,"mrmicahcooper/leetcompete"
0.6666666666666666,3,2.0,bobbyslife,"bobbyslife/github-gardener"
0.6666666666666666,3,2.0,anhvu-sg,anhvu-sg/docker-odoo
0.6666666666666666,3,2.0,joanlb,joanlb/studenoder
0.6666666666666666,3,2.0,nathanchance,"ClangBuiltLinux/llvm-project"
0.6571428571428571,35,23.0,cain19811028,"cain19811028/python_notebook"
0.6526315789473685,95,62.0,sWIm-crm,"DHBW-sWIm/mastercrm-vtiger"
0.65,20,13.0,camden2005,"camden2005/camden2005.github.io"
0.6470588235294118,17,11.0,CommanderRoot,"CommanderRoot/twitch-follower-tracker"
